text,category,predicted_category
furor mounts clippers owner donald sterlings alleged racist rant nba team business carries imagery representing city sports athletes provide opportunities positive role modeling influencing attitudes turned negative effects ripple,28,28
calypso st barth features zandile blay generations style campaign photos check cute conversation fun photos shoot one ladies huffington post,2,17
stage door breaking silence girl heard power theater will aptly demonstrated soho playhouse devoting three nights february breaking silence girl heard unique theatrical work highlights global issues surrounding violence women,0,0
woman dog slay halloween excellent waynes world costumes party garth,14,14
hurricane isaac threat looms florida keys tropical storm lashes cuba latest advisory nh said isaac churning westnorthwest miles km per hour storm officially,11,11
let bridesmaids choose dresses involved want choosing bridesmaids gowns matter youd ideally wear,35,35
stuck subway riders turn drake fetty wap cope youre stuck train know,10,10
separating fact fiction obesity plastic surgery defined body mass index bmi higher obesity epidemic onethird american adults,30,30
bloombergs breastfeeding initiative lets start paid parental leave key difference europe united states comes breastfeeding legal protections paid parental leave paid sick leave cases allowances longer lunch hours breastfeed,22,22
man took engagement photos burrito burritoful found love burrito place,38,38
dont forget us middle lgbts midwest south coast need remember comes lgbt issues midwest south decade behind now think back way things decade ago see cant abandon ship yet,25,25
cruise review msc yacht club ship within ship well known north american market naplesbased msc privately owned italian cruise line launched may divina companys newest fleet ships,33,33
freddie gray case shown us case freddie gray shown us contradictions black white held us see,2,28
free resources teach students cesar chavez day march although countless parks streets libraries schools public places named honor across nation many students know little cesar chavez march birthday number states will observe cesar chavez day tribute commitment social justice,19,19
restore true spirit esea congress opportunity invest nations valuable resource youth need write legislators remind original intent esea need ensure students worldclass education allows become contributing members society,9,9
better mind black business ebony costain founder ujamaa box imbued spirit entrepreneurship parents owned residential painting company,2,2
killed truck flies san diego bridge onto festival feet authorities said trucks driver survived later charged driving influence,6,6
end enda gay colleagues choose jettison enda im willing back question left now really expect house representatives wont even debate version enda broad religious exemptions will seriously consider stricter amended one,25,25
stormy daniels arrest error says columbus police chief columbus police will review officers motivations arrest daniels suing president trump,34,28
ballet color odd feel outsider issue touched life profoundly least part arthur mitchell set address years ago karel shook cofounded dance theatre harlem basement church harlem,0,0
mark zuckerbergs important meeting right now finally ceo shows world really matters,32,32
thriving power presence im excited join exploration healthy ways living upcoming conference thrive arianna huffington mika brzezinski im looking forward discussing importance cultivating meaningful connections digital age arianna alanis morissette,16,16
dress football season former nfl cheerleader whether home couch favorite sports bar superdome will chance see couple games wear team colors look fashionable,29,29
vassar college commencement speech class someone runs digital media company uses every form social media invented hope street cred urge graduating year build boundaries introduce digital detoxes life learn regularly disconnect jumble cacophony make time reconnect will many profound fulfilling relationships ahead relationship important relationship youll relationship cant taken granted one thing wish knew graduating college delphic admonition know thyself socrates admonition unexamined life worth living ancient philosophical platitudes fact relevant important guiding truths lives,4,4
mcdonalds says packaging will percent green restaurants will feature recycling bins,15,15
clarifying questions newly single grey divorce set surge grey divorce number newly single men women dating first time,8,8
ex didnt tell money need know perhaps ex handled finances everything associated fastforward today now youre divorced maybe even sitting pile money reticent next,8,8
man set fire protest venezuelas capital people participating demonstrations president surrounded man doused gasoline set alight plaza altamira east caracas witnesses said,40,40
worlds top historic hotels shiny new certain charm hey im las vegas epicenter shiny new sometimes hotels come little baggage love history personal thing swooned stories behind particular bunch pack suitcase join historical trip around world stops favorite hotels history,12,33
new trends wearable technology smart glass longer sole domain google originally developed military give soldiers terminator vision leaving hands free maneuver weapons multiple manufacturers releasing interpretation wearable tech improve quality life,32,32
flying rich famous citytocity private jet arent forgetting something ask ducking inside say reply truth im disappointed,33,33
way woman got back cheating boyfriend perfect five years ago abruptly ended year relationship man loved trusted time made much harder prospect finding someone compatible age seemed grim best,12,8
prince andrew relationship jeffrey epstein mistake duke york denied knowledge convicted pedophiles behavior,39,39
im happy parents divorced divorce may blessing curse either failure parents fail fail ending marriage,8,8
knicks report trouble sleeping adrenaline keep night kram suggested players struggling sleep skip video games stimulating activities favor listening,37,37
weeks cheap celeb finds kylie jenner wears bikini top yup heard us right,29,10
missing obama oftentimes dont understand good gone dont realize value time place experience,2,2
case vibrant lips think pretty much safe say every bridetobe devises enormous list big day checklist makers ultimate dream lets honest face will look standing altar usually near top,35,35
reading writing arithmetic recently attended meetings award events university colorado boulder university virginia always happens college campus struck importance value education,9,9
cooking cuff earlyautumn market yields something resembling chinese dinner farmers market last week jackie saw peppers height perfumed ripeness eggplantsaubergines,31,31
california reaches deal minimum wage proposal give california highest statewide minimum wage,3,3
top convertibles mark summer solstice nothing quite first drive summer top honor tradition total car score put together list showcasing seasonal vehicles synonymous summer fun,21,21
wedding industry needs know gay weddings lgbt culture theres jewish culture southern culture etc culture come unique trends traditions experiences,35,35
trans teen sues catholic health organization denied medical care discrimination plainly illegal aclu attorney said,25,18
next normal cal rep moment bristles energy coils uncoils recoils productions biggest achievement supercharged pitch pitch reflects dianas changing moods moods include depression numb medicated stability exuberant mania,0,0
complete guide drinking beer college students properly pouring brew best beer morning drinking heres make sure college years arent totally wasted,13,13
airlander flying bum crashes test flight bumbumbumbum bummmmmmm,36,14
eden valley theres cumbria lake district photos many travel cumbria lake district course beautiful mountains lakes huge pull eastern side m motorway sits beautiful wide open valley hidden treasures stunning backdrops,33,33
parenting boost executive function cant control good bad things will happen children give tools need make experiences whether joyous painful opportunities growth,23,23
bystanders lift suv pinned woman dramatic manhattan rescue woman crossing street crosswalk suv struck,34,34
blended family friday meet maureen toms family whats best thing part blended family always wanted large family didnt first child,8,8
hundreds students arrested white house protesting keystone xl came back white house police still arresting hundreds students taking part will likely largest act youth civil disobedience white house generation,11,11
daughter wont getting fidget spinner ah fidget spinner craze see everywhere everyone opinion tends depend spinners,23,23
axe wants shed douchey reputation empower men goodbye axe effect,29,29
college students helped end war vietnam cant stop rape campus high achievers committed academic excellence community service leadership dreamers imagine want society look will put time create,4,4
magical black women helped us blackgirlmagic needed persevere,2,2
save money making fresh food last longer food waste monumental problem simple ways fight,31,31
bruce lieberman east end gallery north painter bruce liebermans exhibition east end many things among daily life long island endless experimentation paint need escape pressures world,0,0
bill clinton first spouse hillary punished one expects guy bake cookies host teas thats good news america,3,8
trump propaganda discourses feminism always blame woman risk sounding redundant aware gender inequality pervaded ongoing biases,38,38
experience free events attractions home social distancing coronavirus pandemic enjoy virtual concerts workout classes broadway shows,17,14
importance process achieving results able sustain increase interest learning thinking concentrating end result process enjoyment process key success,9,9
angry orchard issues recall due bursting bottles theres buzzkill bursting bottle,31,31
flood tide climate movement tide comes shakespeare right must seize time boldness time vision time concentrate strength effort move big ideas game changing projects slow steady wont win race,15,15
gambia voted oust dictator isnt going quietly fears growing will happen yahya jammehs presidency expires week,40,40
states sue pharmacy company behind oxycontin amid opioid crisis california maine hawaii district columbia accusing purdue pharma helping fuel rise drug overdoses linked opioids,34,34
celebrities loving forever cheap celeb finds list prices though,29,29
stake ending vicious cycle wealth power america succumbed vicious cycle great wealth translates political power generates even wealth even power result vicious cycle disenfranchisement americans giant upward distribution income middle class poor wealthy powerful,24,24
keystone xl looking unlikely despite house vote approve dirty energy project keystone xl vote first republican congressional leadership promised will series attacks health environment important administration move forward clean power pla,15,15
lakers fan screw puts warriors jersey midgame darkest days lakers fans,28,28
dont allow limitations define progress journey achieving dreams will able clearly realize difficult limitations circumstances actually served necessary tools helped become better version,16,18
tips coping grief holidays death occurs holiday season jingling bells falalalalas crude backdrop pain stark emptiness loss throbs veins barely breathe,12,12
virna lisi italian actress poses portrait s look back daily column highlights moment fashions fabulous past todays pick italian actress,30,0
weekly roundup ebay vintage home finds please note zuburbia endorse use fur feathers leather animal skins home decor,17,17
us judge temporarily halts release d printed gun blueprints us district judge robert lasnik seattle said blueprints publication cause irreparable harm us citizens,34,34
henry arango witness stonewall riots six decades gay history im glad lived long enough see changes says gesturing hands sometimes ive angry gays lesbians transgenders human beings entitled rights everyone,25,25
ojai turns water works direct immediate nuanced responsive artists hand waterbased mediums defy attempts revision demanding artist work quickly intuitively acutely present moment,0,0
backlash report calls killing tamir rice objectively reasonable cleveland cn heels new report justifying police shooting yearold tamir rice last year rices,6,6
alphabets google beats oracle billion android trial jury unanimously upheld claims google use oracles java development platform protected fairuse provision copyright law,32,32
michael sheen considers acting less response donald trump updated actor plans pursue political activism walked back reports decided quit acting altogether,10,10
suicide shocking statistic need bottom happening male brain thats causing think ending life right decision chemical nature vs nurture situation cultural raising boys wrong cant really insurance coverage mental health care,18,22
homeless court removes housing job barriers people streets instead getting fine theyll never able afford fulfill community service hours,18,18
tuition cuts tuition cuts recent report state legal education moodys credit rating service noted passing tuition cuts necessarily effective tactic improving enrollment rationale important people understand,4,9
kim kardashian back town look interesting less pants,29,10
doughnuteating champ arrested doughnut shop breakin doh,6,6
meatless monday leftovers versus lagniappe memorial day honoring died service country us extra day extra day luxury delight bonus doesnt extra meal give us thrill,11,11
lets reconsider rachel maddow segment trumps taxes everyone hated now trumps tax plan worth second look,20,20
happy anniversary matchcom meet first success story twenty years ago last month brandnew dating website called matchcom launched universe radically changed couples connected fact estimated million americans now partake kind online dating service,14,35
new york times trump didnt destroy reputation newspaper refuses retract explosive groping story allegations trumps inappropriate behavior pile,20,20
long winter grief process grief sometimes likened cold dark period gloom affects us physically psychologically behaviorally spiritually,37,37
sleeping pills undermine sleeps memoryboosting power people best longterm strategy develop strong sustainable sleep routine rely prescription sleep medication theres question takes work rewards worth sleep overall health perhaps memory will better,37,18
gmail tap google announces morse code keyboard alternative april fools day video judging comments gmail google page many users seem think pretty cool app jokes aside,32,32
elder abuse growing national crisis know americas dirty little secret hidden problem elder abuse according national clearinghouse abuse later life ncall heres know serious social problem,12,12
strangers transform busy nyc crosswalk ballroom dance hall comedy collective improv everywhere organized wonderful stunt,14,10
new combinations new york city ballet new combinations perfect title program new york city ballet presented world premiere justin pecks rōdēō four dance episodes,0,0
close josh feldman puts deaf gay lives spotlight actor writer helps set new milestone intersectional representation tv,25,25
splat trying wear run legal fees high choice except capitulate love power hes holding,8,14
nature promising replacement hormonescrambling plastics shrimp shells result rising concerns bpafree products flooded market javier fernandez admits hes huge fan,11,11
wanted good jobs clean water air future clean green jobs longer federal government,15,18
elon musk spacex launch explosion difficult failure years fireball consumed rocket fueled launch,27,27
mizzou football team lost new coach introduced put simply approve choice,28,28
expanding opportunity aapi communities education every race obtaining college degree means facing lower rates unemployment aapis college education means shaving nearly percentage points unemployment rate compared aapis high school education,9,9
kim jong un inspects submarine experts fear carry farreaching missiles president donald trump met kim last month yet hold new talks effort rein north koreas nuclear program,39,39
selmas lorraine toussaint motherhood childhood silent dark terror award season buzz toussaints story woman shut culture rendered powerless finds way back end completely comes,10,10
ten facts light dark total solar eclipse coauthored megan watzke august st total solar eclipse will visible oregon south carolina event,27,27
empire state building turns blood red celebrate trump victory gop primary special lighting effect sign end times,24,24
nasa looking toward manned mission mars sometime s agency first wants learn various lessons sending humans back moon,27,27
cant leave girls young women behind pursuit education three mirabal sisters political activists dominican republic brutally murdered activists marked day th november day speaking violence women girls vawg,26,26
harry styles style gift inspiration manly men everyone,30,17
journey spotlight write letter things true past eleven years concerned percent students given education,9,9
warriors go nbas alltime win record greatness simply doesnt come along often,28,28
ghostly portraits explore anonymous women homes history anonymous woman virginia woolf,1,1
ending affair integrity affair may seem good idea time really bad idea becomes complicated manage double life guilt difficult bear,8,8
nobelwinning economist richard thaler jovial professor richard thaler university chicago received news won nobel memorial prize,3,3
spring cleaning unexpected way clean car overhanging branch dripped tree sap parked car youve driven wet tar now theres,17,17
beyoncé teams unicef bring safe water kids burundi access water fundamental right singer said,2,2
hotel guest wants jeff goldblum photos thats gets jeff goldblum girlfriends celebrity crush man explained,36,36
cuban nationals rescued nearly weeks deserted island woman two men reportedly survived coconuts conch rats boat capsized near uninhabited bahamian island rough weather,34,34
uber sued women alleging sexual assault drivers ridehailing company accused knowing incidents least failing take adequate safety actions,34,34
pope tells bishops practice zero tolerance child sex abuse area let us adhere clearly faithfully zero tolerance,26,26
disneylands latest fall treat update psl limitededition touch isnt available yearround psl fans will want park asap,31,31
happens search pumpkin spice nordstrom pumpkin spice lattes kale certain impossibly comfy winter boots,29,29
anyone able cook turkey without googles help without wed eating microwave pizza thanksgiving,32,32
unfinished business unspoken link dispersants sick children gulf mexico problem illnesses bps oil dont go away inconvenience oil companies federal government charge impossible situation way clean oil spills including tar sands spills,11,18
ive decided remain single statistics point single people filling population today many wrote book dozen,12,12
stunning photos capture olympics closing ceremony glory actionpacked ceremony featured everything rollerblading pandas kpop musicians,28,28
five reasons rebound relationship right now unlike many divorce relationship experts dont believe necessary abstain relationships emotionally recovered divorce instead recommend divorcees jump headfirst rebound relationship,8,8
darkness comes light fear comes love pain comes triumph overcome life makes richer every way dark place looking way hardship faced two choices give tap inner resources didnt even know,37,37
willow smith dropped surprise debut album see willow,2,2
police officer jumps helicopter tackle suspect absurd chase whatever takes custody tactical flight officer said,6,6
former manson family member patricia krenwinkel seeks parole killings prison longer female california history,6,14
promise daughter know beautiful amazing daughter gets married will incredible time life want exactly wants want wedding dress expression style personality one elses come play especially mine,35,35
books arent made adapted screen thats ok elena ferrante tv adaptation,1,1
green bay packers back track minnesota theyre getting ready visit vikings first place line,28,28
delta flight diverted offduty flight attendant makes terroristic threats video showed passengers flight crew members subduing suspect yearold stephon jamar duncan,34,34
child left isolation want close achievement gaps poor students color wealthier white counterparts must reduce high levels socioeconomic isolation urban communities,9,9
top black staffers leave republican national committee rnc made broadening base priority lost head black outreach,24,18
fake wolf blitzer accepts trump fake news award real jimmy kimmel fakewolf,5,5
summery pastas summer officially arrived seasons heavy heat settled time easytothrowtogether meals serve one entire beach house full guests,13,14
russell simmons says hollywood segregated costing money ive never seen place said,2,2
incredible things buy give starbucks year cash,31,31
marcus garveys message pardon matters proverbs says vision people perish us governments long campaign discredit civil rights,2,2
wedding planning timeline one talks charts tell us dont dream place cards ordered month one already behind us didnt start scrapbooking images taffeta pearls day got first period sluggish schedule,35,35
puff poof dab danger ive following three talc lawsuits felt important enough share whats going arent label detectives talc found many personal care beauty products baby powder blush antiblemish products,37,12
planning wedding going split hes popped question sparkly new ring adorns finger youve begun turning dreams actual wedding plans start worst arguments,35,35
right way clean barbecue sauce stains twostep process soak garment soak dirty dish warm water dish detergent,17,17
clueless reunion cover entertainment weekly prompts fashion discussion video alicia silverstone really think wild outfits,30,30
buy f scott fitzgeralds old home make side paradise waiting old sport,1,1
confucius confusion wisdom come age often said chinese example respect elderly revere age way foreign americans treat age burden,0,0
passengers brawl twice nippon airways jet bound los angeles wasnt enough,6,28
nfl players flu shots feet simple lesson save life today million people going tune super bowl will watching american tradition play will witnessing one deadliest sports history whose record premature deaths demonstrates sobering reality silent killer us inflammation,37,37
childrens resolutions worth posting refrigerator family camp winter break yearold daughter compiled list resolutions together resolutions children kids truly say best,22,22
bae secretly sold mass surveillance technology many repressive governments britains biggest arms manufacturer bae secretly sold mass surveillance technology six middle eastern governments repeatedly,39,39
fox news reporter sarah huckabee sanders deserves apology press dinner comedian michelle wolf mean hateful vile ed henry said,20,20
brazils congress gets rid lawmaker engineered rousseff impeachment charged corruption allegedly taken bribes never declaring swiss bank accounts,40,40
